"","Acanthis flammea","Acanthis hornemanni","Accipiter cooperii","Accipiter gentilis","Accipiter striatus","Aegolius acadicus","Agelaius phoeniceus","Aix sponsa","Ammodramus savannarum","Anas acuta","Anas americana","Anas clypeata","Anas crecca","Anas discors","Anas penelope","Anas platyrhynchos","Anas rubripes","Anas strepera","Anser albifrons","Anser erythropus","Anthus rubescens","Ardea alba","Ardea herodias","Asio flammeus","Asio otus","Aythya affinis","Aythya americana","Aythya collaris","Aythya marila","Aythya valisineria","Baeolophus bicolor","Bombycilla cedrorum","Bombycilla garrulus","Bonasa umbellus","Botaurus lentiginosus","Branta bernicla","Branta canadensis","Branta hutchinsii","Bubo scandiacus","Bubo virginianus","Bucephala albeola","Bucephala clangula","Bucephala islandica","Buteo jamaicensis","Buteo lagopus","Buteo lineatus","Buteo platypterus","Butorides virescens","Calcarius lapponicus","Calidris alba","Calidris alpina","Calidris mauri","Calidris melanotos","Calidris minutilla","Calidris pusilla","Caracara cheriway","Cardellina pusilla","Cardinalis cardinalis","Cathartes aura","Catharus guttatus","Catharus minimus","Catharus ustulatus","Certhia americana","Charadrius vociferus","Chen caerulescens","Chen rossii","Chondestes grammacus","Chroicocephalus philadelphia","Chroicocephalus ridibundus","Circus cyaneus","Cistothorus palustris","Cistothorus platensis","Clangula hyemalis","Coccothraustes vespertinus","Colaptes auratus","Colinus virginianus","Columba livia","Coragyps atratus","Corvus brachyrhynchos","Corvus corax","Corvus ossifragus","Cyanocitta cristata","Cygnus buccinator","Cygnus columbianus","Cygnus olor","Dryocopus pileatus","Dumetella carolinensis","Egretta caerulea","Eremophila alpestris","Euphagus carolinus","Euphagus cyanocephalus","Falco columbarius","Falco mexicanus","Falco peregrinus","Falco sparverius","Fulica americana","Gallinago delicata","Gavia immer","Gavia stellata","Geothlypis trichas","Haemorhous mexicanus","Haemorhous purpureus","Haliaeetus leucocephalus","Histrionicus histrionicus","Hydrocoloeus minutus","Hylocichla mustelina","Icteria virens","Icterus bullockii","Icterus galbula","Ixoreus naevius","Junco hyemalis","Lanius excubitor","Lanius ludovicianus","Larus argentatus","Larus delawarensis","Larus fuscus","Larus glaucoides","Larus hyperboreus","Larus marinus","Larus thayeri","Leucophaeus atricilla","Leucophaeus pipixcan","Lophodytes cucullatus","Loxia curvirostra","Loxia leucoptera","Megaceryle alcyon","Megascops asio","Melanerpes carolinus","Melanerpes erythrocephalus","Melanitta americana","Melanitta fusca","Melanitta perspicillata","Meleagris gallopavo","Melospiza georgiana","Melospiza lincolnii","Melospiza melodia","Mergus merganser","Mergus serrator","Mimus polyglottos","Mniotilta varia","Molothrus ater","Myadestes townsendi","Myiopsitta monachus","Nyctanassa violacea","Nycticorax nycticorax","Oreothlypis celata","Oreothlypis peregrina","Oreothlypis ruficapilla","Oxyura jamaicensis","Pandion haliaetus","Parkesia noveboracensis","Passer domesticus","Passerculus sandwichensis","Passerella iliaca","Passerina amoena","Passerina caerulea","Passerina cyanea","Pelecanus erythrorhynchos","Perdix perdix","Perisoreus canadensis","Phalacrocorax auritus","Phalacrocorax carbo","Phasianus colchicus","Pheucticus ludovicianus","Pheucticus melanocephalus","Pica hudsonia","Picoides arcticus","Picoides pubescens","Picoides villosus","Pinicola enucleator","Pipilo erythrophthalmus","Pipilo maculatus","Plectrophenax nivalis","Pluvialis squatarola","Podiceps auritus","Podiceps grisegena","Podilymbus podiceps","Poecile atricapillus","Poecile carolinensis","Poecile hudsonicus","Polioptila caerulea","Pooecetes gramineus","Porzana carolina","Quiscalus quiscula","Rallus elegans","Rallus limicola","Regulus calendula","Regulus satrapa","Sayornis phoebe","Scolopax minor","Seiurus aurocapilla","Selasphorus rufus","Setophaga caerulescens","Setophaga coronata","Setophaga discolor","Setophaga dominica","Setophaga fusca","Setophaga palmarum","Setophaga petechia","Setophaga pinus","Setophaga ruticilla","Setophaga tigrina","Sialia sialis","Sitta canadensis","Sitta carolinensis","Sphyrapicus varius","Spinus pinus","Spinus tristis","Spiza americana","Spizella passerina","Spizella pusilla","Spizelloides arborea","Strix varia","Sturnella magna","Sturnella neglecta","Sturnus vulgaris","Tachycineta bicolor","Thryothorus ludovicianus","Toxostoma rufum","Tringa flavipes","Tringa melanoleuca","Troglodytes aedon","Troglodytes hiemalis","Turdus migratorius","Tympanuchus phasianellus","Tyto alba","Vireo solitarius","Zenaida macroura","Zonotrichia albicollis","Zonotrichia atricapilla","Zonotrichia leucophrys","Zonotrichia querula"
"MN1905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MN1940",0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,69,30,0,0,0,0,0,0,0,1,221,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,83,3,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"MN1945",17,0,0,8,1,0,92,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,100,0,0,0,0,0,0,0,3,0,165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,35,0,0,212,0,0,0,2,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,406,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892,0,0,0,0,0,0,7,0,0,0,216,0,0,0,0,59,35,2,0,1,0,0,0,0,0,406,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,86,0,5,50,0,0,0,252,7,0,0,783,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"MN1950",113,0,2,5,1,0,5,0,0,0,0,0,0,0,0,371,4,0,0,0,0,0,0,0,2,3,0,0,0,0,10,37,0,8,0,0,75,0,0,7,1,198,0,7,1,0,0,0,15,0,0,0,0,0,0,0,0,89,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,172,0,0,351,0,1,0,8,0,0,0,2,3,0,0,0,4,8,0,3,0,0,0,204,0,0,0,0,0,0,0,0,887,4,0,0,5,0,0,0,0,0,0,0,3,4,0,6,0,7,2,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,146,66,48,0,0,1,0,0,0,0,686,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,196,0,2,689,0,0,0,1506,9,0,11,1179,0,0,0,0,0,0,0,5,0,0,0,42,0,0,0,0
"MN1955",406,0,3,2,0,0,206,0,0,1,0,1,0,0,0,2454,42,0,0,0,0,0,0,0,1,2,0,0,0,1,17,96,1,7,0,0,10,0,2,13,1,353,0,9,0,0,2,0,2,0,0,0,0,0,0,0,0,163,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,493,0,0,875,0,0,0,11,1,0,0,0,3,0,0,0,15,3,0,0,0,0,0,367,0,0,0,0,0,0,0,0,905,10,0,0,0,0,0,0,0,0,0,0,1,7,53,2,0,3,8,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11992,0,0,0,0,0,0,0,0,0,0,1094,0,0,0,0,154,75,37,0,0,256,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,366,1,30,488,0,0,0,578,14,0,0,1677,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0
"MN1960",66,0,0,3,2,0,2,5,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,1,4,0,1,0,0,11,38,0,4,0,0,32,0,0,4,0,23,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,128,0,0,255,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,83,34,18,0,0,1,0,0,0,0,419,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,107,0,13,123,0,0,0,359,5,0,0,1077,0,0,0,0,0,0,0,1,2,0,0,7,1,0,0,0
"MN1965",1290,2,0,2,0,0,0,7,0,0,0,0,0,0,0,768,5,0,0,0,0,0,0,0,0,1,0,0,0,0,19,93,55,2,0,0,65,0,0,10,4,970,3,24,5,1,0,0,9,0,0,0,0,0,0,0,0,206,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,351,0,0,780,0,0,0,8,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,847,9,0,18,1,0,0,0,0,0,0,0,0,12,5,5,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7070,0,0,0,0,0,0,0,0,0,0,671,0,0,0,2,137,70,54,0,0,58,0,0,0,0,1060,0,0,0,0,0,287,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,60,280,0,113,392,0,0,0,327,4,0,0,3990,0,0,1,0,0,0,0,18,0,0,0,38,4,0,0,0
"MN1970",1314,1,2,2,0,0,412,26,0,4,1,1,1,0,0,7562,34,0,0,0,0,0,0,0,0,3,2,0,0,0,5,110,30,13,0,0,3,0,0,10,6,1997,3,46,5,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,126,4,0,1954,0,1451,0,0,870,0,0,0,14,0,0,8,4,0,0,0,0,15,2,0,0,0,0,0,123,0,0,0,0,0,0,0,0,841,12,0,274,1,0,0,0,0,0,0,0,1,4,40,2,0,35,2,0,0,0,0,0,0,9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11252,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,279,180,19,0,0,17,0,0,0,0,1341,0,0,0,0,0,33,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,472,1,61,756,0,0,0,1053,5,0,0,9679,0,0,6,0,0,0,0,42,0,0,0,111,8,0,0,0
"MN1975",91,0,0,0,2,0,80,14,0,1,0,0,0,0,0,10168,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,129,0,8,0,0,156,0,0,9,0,1221,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,7,4,0,2722,0,893,0,0,587,0,0,0,22,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,58,3,0,0,0,0,0,0,0,696,5,0,225,10,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,0,0,0,0,0,0,0,1,0,0,539,0,0,0,0,237,163,2,0,0,10,0,0,0,1,999,0,0,0,0,0,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,367,0,40,771,0,1,1,547,6,0,0,4794,0,0,0,0,0,0,0,9,0,0,0,114,3,0,0,0
"MN1980",144,0,0,1,0,0,0,4,0,1,1,1,3,0,0,18960,47,0,0,0,0,0,0,0,0,7,0,1,0,0,5,721,175,11,0,0,773,0,4,38,1,1875,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,431,0,3,0,0,21,0,0,0,0,0,0,1,0,0,0,10,3,0,9471,0,2246,0,0,1246,0,0,0,36,0,0,0,5,0,0,0,0,26,1,0,0,0,0,0,163,19,0,0,0,0,0,0,0,2072,10,0,476,6,0,0,9,0,1,0,0,3,8,2,11,1,51,0,0,0,0,0,0,0,10,69,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8896,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,451,277,0,0,0,27,0,0,0,0,2588,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,686,0,491,1145,0,0,1,873,12,0,0,7165,0,0,2,0,0,0,0,85,0,0,0,228,9,0,0,0
"MN1985",14,0,0,0,0,0,6,2,0,2,0,0,0,0,0,16885,58,1,0,0,0,0,5,0,0,7,5,0,1,2,0,458,0,0,0,0,1170,0,1,15,1,1269,0,52,1,1,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,3,0,5402,0,3389,0,0,440,0,0,0,13,0,0,0,0,0,0,0,1,25,6,0,0,0,0,8,34,22,0,0,0,0,0,0,0,959,5,0,318,11,0,0,3,0,0,0,0,3,0,29,7,2,13,6,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6710,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,364,200,7,0,0,0,0,0,0,1,1751,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,505,1,333,841,0,0,0,596,3,0,0,5074,0,0,0,0,0,0,0,221,0,0,0,375,4,0,0,1
"MN1990",5,0,5,5,4,0,1,11,0,0,0,0,1,0,0,20817,39,1,0,0,0,0,16,0,0,2,1,0,1,2,0,222,0,0,0,0,3512,0,0,13,3,1783,0,65,7,0,0,0,0,0,0,0,0,0,0,0,0,492,0,1,0,0,19,0,125,0,0,0,0,0,0,0,0,0,5,0,15813,0,5128,0,0,682,0,2,0,18,0,0,1,38,0,1,1,6,38,4,0,1,0,0,462,3,49,0,0,0,0,0,0,0,703,4,0,1247,380,0,0,0,0,0,0,0,2,0,0,8,5,40,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8729,0,0,0,0,0,0,0,1,1,0,48,0,0,0,0,332,177,0,0,0,33,0,0,0,1,1847,0,0,0,0,0,59,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,421,0,126,747,0,1,0,391,0,0,0,7620,0,0,0,0,0,0,0,116,0,0,0,150,10,0,0,0
"MN1995",225,0,6,4,6,0,3,14,0,2,5,20,0,0,0,45369,44,50,0,0,0,0,38,0,0,11,0,4,0,1,1,294,0,0,0,0,15465,0,1,12,7,756,0,133,4,3,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,26,0,2,0,0,0,0,2,0,0,0,0,0,0,17009,0,9318,0,0,514,0,0,0,22,0,0,0,1,0,0,1,10,31,88,0,1,0,0,1577,2,100,0,0,0,0,0,0,0,1713,13,0,259,1555,0,0,0,0,0,0,0,14,0,22,14,5,63,0,0,0,0,1,0,0,1,326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8856,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,545,212,0,0,0,12,0,0,0,2,2813,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,550,0,69,1356,0,0,0,441,5,0,0,5778,0,0,0,0,0,0,0,463,0,0,0,298,14,0,0,0
"MN2000",39,0,19,4,8,0,1,10,0,6,0,6,0,0,0,30137,43,12,0,0,0,0,57,0,0,6,0,42,0,0,0,372,0,0,0,0,14243,0,1,13,5,301,0,141,7,2,0,0,0,0,0,0,0,0,0,0,0,611,0,3,0,0,31,0,2,0,0,0,0,0,0,0,0,0,18,0,12882,0,9464,0,0,442,0,0,0,24,0,0,1,0,0,0,0,18,26,187,0,1,0,0,1088,11,144,0,0,0,0,0,0,0,1220,19,0,280,2300,0,0,0,0,0,0,0,15,0,0,17,1,97,0,0,0,0,48,0,0,8,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7943,0,2,0,0,0,3,0,0,0,0,12,0,0,0,0,496,212,0,0,0,165,0,0,0,1,3001,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,581,1,1,1261,0,0,0,334,1,0,0,6894,0,1,0,0,0,0,0,1157,0,0,0,185,16,0,0,0
"MN2005",6,0,27,0,13,0,1,8,0,2,4,1,0,0,0,25584,29,34,0,0,0,0,73,0,1,2,1,13,0,1,0,453,0,0,0,0,9373,0,0,32,1,310,0,223,4,2,1,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,37,0,16035,0,5039,0,0,441,74,0,0,41,0,0,0,0,0,4,0,16,14,41,0,0,0,0,1129,0,169,0,0,0,0,0,0,0,1452,18,0,95,156,0,0,0,0,0,0,0,99,0,0,13,2,139,0,0,0,0,177,0,0,1,740,7,0,0,0,0,0,0,1,0,0,0,2,0,0,6904,0,6,0,0,0,7,0,0,2,0,19,0,0,0,0,749,295,0,0,0,0,0,0,0,3,3215,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,42,799,4,44,1639,0,0,0,395,9,0,0,8600,0,2,0,0,0,1,0,2457,0,0,0,259,22,0,0,0
